sidi_othmane;13843.839163943485;66
la_gironde;12652.777131861661;61
palmier;87015.89204680489;27
ain_sebaâ;14596.412585897993;569
errahma;9662.133287686456;206
sbata;9656.188647568642;67
oulfa;11795.158154943127;691
beausejour;13782.04688794428;78
benmsik;7371.587698754614;28
derb_ghallef;13006.02728609193;23
hay_inara;11116.101002267234;37
gauthier;21077.132375257162;64
tit_mellil;6838.257338575253;59
ben_ejdia;18531.90405134788;23
dar_bouazza;7736.598038052929;967
anfa;18212.00759293752;81
al_fida;34423.27314343547;52
route_d_el_jadida;9238.83590891956;22
c_i_l;12965.674591813598;16
hay_moulay_rachid;17933.881064967038;170
californie;15602.040540721318;246
mers_sultan;14338.172589440095;51
bourgogne;13878.557777869952;214
oasis;13430.774196306253;14
2_mars;13748.673819573667;138
hay_mohammadi;13597.325980592777;138
racine;21620.597994397078;93
sidi_bernoussi;8932.236192667411;1169
sidi_moumen;6603.3505884230735;1758
roches_noires;9609.551976993429;74
hay_hassani;24920.433405439584;167
les_princesses;21194.416563466893;39
ain_diab;19392.244645505518;29
sidi_maarouf;11054.22450203893;536
ben_m_sick;20608.752239971815;157
val_fleuri;257975.14416588048;81
quartier_des_hopitaux;15949.644080038704;83
sidi_rehal;7367.623568725668;460
ain_borja;16355.955791752098;139
triangle_d_or;25104.93937658516;24
lissasfa;7534.886859304999;72
belvedere;9960.296815407984;183
route_d_azemmour;6627.634440389927;18
centre_ville;10627.96910695141;108
derb_omar;17202.649750857945;14
ain_chock;23317.299993254226;281
maarif;14606.196278757787;352
